Country,City,AQI_value,AQI_category,CO_AQI_value,CO_AQI_category,Ozone_AQI_value,Ozone_AQI_category,NO2_AQI_value,NO2_AQI_category,PM2_5_AQI_value,PM2_5_AQI_category,latitude,longitude,Description
United States of America,Santa Monica,116,Unhealthy for Sensitive Groups,3,Good,14,Good,25,Good,116,Unhealthy for Sensitive Groups,34.0235,-118.481,"""Santa Monica is a city in Los Angeles County, situated along Santa Monica Bay on California's South Coast. Santa Monica's 2020 U.S. census population was 93,076. Santa Monica is a popular resort town, owing to its climate, beaches, and hospitality industry. It has a diverse economy, hosting headquarters of companies such as Hulu, Activision Blizzard, Universal Music Group, Starz Entertainment, Lionsgate Studios, Illumination and The Recording Academy."""
Colombia,Santa Rosa,64,Moderate,1,Good,31,Good,0,Good,64,Moderate,14.3167,121.1167,"""Santa Rosa is the Italian, Portuguese, and Spanish name for Saint Rose."""
Venezuela (Bolivarian Republic of),Santa Teresa,53,Moderate,1,Good,28,Good,1,Good,53,Moderate,-19.9358,-40.6,"""No description provided"""
Brazil,Sapiranga,47,Good,1,Good,17,Good,1,Good,47,Good,-29.6378,-51.0069,"""Sapiranga is a city in Brazil in the state of Rio Grande do Sul with a population of roughly 80,000 inhabitants. It is located in an industrial area called 'Vale dos Sinos', by the Rio dos Sinos. The town's economy relies heavily on the shoe industry. Other industries are present, but mostly linked to the shoe manufacturing process, such as metallurgic plants in which machinery is built to later be employed in the production of shoes."""
United States of America,Coconut Creek,81,Moderate,2,Good,18,Good,12,Good,81,Moderate,26.2803,-80.1842,"""Coconut Creek is a city in Broward County, Florida, United States. Situated 37 miles (60 km) north of Miami, it had an estimated population of 57,348 in 2022. It is part of South Florida's Fort Lauderdale metropolitan area. The city seceded from Pompano Beach in the 1960s. It is nicknamed 'Butterfly Capital of the World' because it is home to Butterfly World, the world's largest butterfly aviary, with over 80 species and 20,000 individual butterflies."""
El Salvador,Cojutepeque,123,Unhealthy for Sensitive Groups,4,Good,1,Good,16,Good,123,Unhealthy for Sensitive Groups,13.7167,-88.9333,"""Cojutepeque is the capital city of El Salvador's Cuscatlán department. It also served as the capital of San Salvador during several years. It also serves as the administrative centre for the surrounding municipality of Cojutepeque. Its population is estimated at 70,000 people with about 85% living in the urban areas of the municipality."""
Italy,Colleferro,72,Moderate,1,Good,37,Good,3,Good,72,Moderate,41.7333,13.0167,"""Colleferro is a small town with 20 698 inhabitants of the Metropolitan City of Rome in the Lazio region of central Italy. It is a residential zone with many different industries and sports structures. It borders the City of Frosinone."""
United States of America,Conroe,81,Moderate,2,Good,12,Good,10,Good,81,Moderate,30.3238,-95.4824,"""No description provided"""
Italy,Cordenons,67,Moderate,1,Good,39,Good,2,Good,67,Moderate,45.9833,12.7,"""Cordenons is a comune (municipality) in the Regional decentralization entity of Pordenone in the Italian region of Friuli-Venezia Giulia, located about 90 kilometres (56 mi) northwest of Trieste and about 4 kilometres (2.5 mi) northeast of Pordenone. As of 31 December 2004, it had a population of 17,738 and an area of 56.8 square kilometres (21.9 sq mi)."""
Brazil,Coremas,27,Good,0,Good,10,Good,1,Good,27,Good,-7.0139,-37.9458,"""Coremas is a municipality in the state of Paraíba in the Northeast Region of Brazil."""
