Country,City,AQI_value,AQI_category,CO_AQI_value,CO_AQI_category,Ozone_AQI_value,Ozone_AQI_category,NO2_AQI_value,NO2_AQI_category,PM2_5_AQI_value,PM2_5_AQI_category,latitude,longitude,Description
Russian Federation,Praskoveya,51,Moderate,1,Good,36,Good,0,Good,51,Moderate,44.7444,44.2031,"""No description provided"""
Brazil,Presidente Dutra,41,Good,1,Good,5,Good,1,Good,41,Good,-5.29,-44.49,"""No description provided"""
Italy,Priolo Gargallo,66,Moderate,1,Good,39,Good,2,Good,66,Moderate,37.1667,15.1833,"""Priolo Gargallo is a comune (municipality) in the Province of Syracuse, Sicily. It is about 190 kilometres (120 mi) southeast of Palermo and about 13 kilometres (8 mi) northwest of Syracuse."""
Poland,Przasnysz,34,Good,1,Good,34,Good,0,Good,20,Good,53.0167,20.8833,"""Przasnysz is a town in north-central Poland. Located in the Masovian Voivodship, about 110 km north of Warsaw and about 115 km south of Olsztyn, it is the capital of Przasnysz County. It has 18,093 inhabitants (2004). It was one of the most important towns in Mazovia during the Middle Ages. Przasnysz was granted town privileges in 1427."""
United States of America,Punta Gorda,54,Moderate,1,Good,14,Good,11,Good,54,Moderate,16.1005,-88.8074,"""No description provided"""
Belgium,Puurs,64,Moderate,1,Good,29,Good,7,Good,64,Moderate,51.0761,4.2803,"""Puurs is a former municipality located in the Belgian province of Antwerp. It is located in the Flemish Region. The municipality comprised the towns of Breendonk, Liezele, Kalfort, Ruisbroek and Puurs proper. There is also the hamlet of Kalfort. In 2021, Puurs had a total population of 17,684. The total area is 33.41 km2 (13 sq mi)."""
Russian Federation,Pyatigorsk,54,Moderate,1,Good,41,Good,1,Good,54,Moderate,44.05,43.0667,"""Pyatigorsk is a city in Stavropol Krai, Russia, located on the Podkumok River, about 20 kilometers (12 mi) from the town of Mineralnye Vody, which has an international airport, and about 45 kilometers (28 mi) from Kislovodsk. Since January 19, 2010, it has been the administrative center of the North Caucasian Federal District of Russia. Population: 142,511 (2010 Census); 140,559 (2002 Census); 129,499 (1989 Soviet census)."""
China,Qinzhou,68,Moderate,2,Good,68,Moderate,1,Good,58,Moderate,21.95,108.6167,"""Qinzhou is a prefecture-level city in south-central Guangxi, southern China, lying on the Gulf of Tonkin and having a total population of 3,302,238 as of the 2020 census whom 1,400,134 lived in the built-up area made of Qinbei and Qinnan urban Districts."""
Netherlands,Raalte,41,Good,1,Good,24,Good,6,Good,41,Good,52.3833,6.2667,"""Raalte is a municipality and a town in the heart of the region of Salland in the Dutch province of Overijssel."""
France,Raismes,59,Moderate,1,Good,30,Good,4,Good,59,Moderate,50.3892,3.4858,"""Raismes is a commune in the Nord department in northern France. The flutist Gaston Blanquart (1877–1962) was born in Raismes."""
Italy,Ramacca,55,Moderate,1,Good,47,Good,0,Good,55,Moderate,37.3833,14.7,"""Ramacca is a comune (municipality) in a mountainous area in the Metropolitan City of Catania in the Italian region of Sicily, located about 140 kilometres (87 mi) southeast of Palermo and about 35 kilometres (22 mi) southwest of Catania. It lies west of the Plain of Catania. Ramacca borders the following municipalities: Agira, Aidone, Assoro, Belpasso, Castel di Judica, Lentini, Mineo, Palagonia, Paternò, Raddusa."""
United States of America,Phoenix,72,Moderate,1,Good,4,Good,23,Good,72,Moderate,33.5722,-112.0892,"""No description provided"""
Poland,Piaseczno,28,Good,1,Good,28,Good,2,Good,28,Good,52.0667,21.0167,"""Piaseczno is a town in east-central Poland with 47,660 inhabitants. It is situated in the Masovian Voivodeship, within the Warsaw metropolitan area, just south of Warsaw, approximately 16 kilometres south of its center. It is a residential area and a suburb of Warsaw. It is the capital city of Piaseczno County."""
Brazil,Pinheiral,154,Unhealthy,5,Good,0,Good,13,Good,154,Unhealthy,-22.5128,-44.0008,"""Pinheiral is a municipality located in the Brazilian state of Rio de Janeiro. Its population was 25,364 (2020) and its area is 77 km2 (30 sq mi)."""
Colombia,Plato,67,Moderate,1,Good,16,Good,2,Good,67,Moderate,9.7919,-74.7872,"""Plato was an ancient Greek philosopher of the Classical period who is considered a foundational thinker in Western philosophy and an innovator of the written dialogue and dialectic forms. He influenced all the major areas of theoretical philosophy and practical philosophy, and was the founder of the Platonic Academy, a philosophical school in Athens where Plato taught the doctrines that would later become known as Platonism."""
Romania,Poiana Mare,62,Moderate,1,Good,37,Good,1,Good,62,Moderate,43.9333,23.0833,"""Poiana Mare is a commune in Dolj County, Oltenia, Romania with a population of 9,047 as of 2021. It is composed of three villages: Poiana Mare, Tunarii Noi, and Tunarii Vechi."""
Russian Federation,Polevskoy,31,Good,1,Good,31,Good,0,Good,17,Good,56.45,60.1833,"""Polevskoy is a town in Sverdlovsk Oblast, Russia, located 50 kilometers (31 mi) southwest of Yekaterinburg, the administrative center of the oblast. Population: 64,220 (2010 Census); 66,761 (2002 Census); 70,632 (1989 Soviet census); 60,000 (1974); 25,000 (1939)."""
France,Pontarlier,56,Moderate,1,Good,35,Good,0,Good,56,Moderate,46.9061,6.3547,"""Pontarlier is a commune and one of the two sub-prefectures of the Doubs department in the Bourgogne-Franche-Comté region in eastern France near the Swiss border."""
United States of America,Pontiac,77,Moderate,2,Good,22,Good,15,Good,77,Moderate,42.6493,-83.2878,"""No description provided"""
Indonesia,Pontianak,44,Good,1,Good,15,Good,0,Good,44,Good,-0.0206,109.3414,"""Pontianak, also known as Khuntien in Teochew and Hakka, is the capital of the Indonesian province of West Kalimantan, founded first as a trading port on the island of Borneo, occupying an area of 118.21 km2 in the delta of the Kapuas River, at a point where it is joined by its major tributary, the Landak River. The city is on the equator, hence it is widely known as Kota Khatulistiwa. The city center is less than 3 kilometres (2 mi) south of the equator. Pontianak is the 23rd most populous city in Indonesia, and the fourth most populous city on the island of Borneo (Kalimantan) after Samarinda, Balikpapan and (Malaysia's) Kuching; it is now slightly ahead of Banjarmasin. It had a population of 658,685 at the 2020 Census within the city limits, with significant suburbs outside those limits. The official estimate as of mid-2023 was 675,468."""
Brazil,Porecatu,30,Good,1,Good,9,Good,2,Good,30,Good,-22.7558,-51.3789,"""Porecatu is a city in the state of Paraná, Brazil, located at around, at the margins of the Paranapanema River. Its economy is mainly based on agriculture with the sugarcane being the most important product. As of 2020, the estimated population was 12,748."""
Finland,Pori,30,Good,1,Good,30,Good,1,Good,15,Good,61.4833,21.8,"""Pori is a city in Finland and the regional capital of Satakunta. It is located on the west coast of the country, on the Gulf of Bothnia. The population of Pori is approximately 83,000, while the sub-region has a population of approximately 128,000. It is the 10th most populous municipality in Finland, and the eighth most populous urban area in the country."""
South Africa,Port Elizabeth,79,Moderate,3,Good,18,Good,5,Good,79,Moderate,-33.9581,25.6,"""Gqeberha, formerly named Port Elizabeth, and colloquially referred to as P.E., is a major seaport and the most populous city in the Eastern Cape province of South Africa. It is the seat of the Nelson Mandela Bay Metropolitan Municipality, South Africa's second-smallest metropolitan municipality by area. It is the sixth-most populous city in South Africa and is the cultural, economic and financial hub of the Eastern Cape."""
United States of America,Port Neches,34,Good,1,Good,19,Good,7,Good,34,Good,29.9765,-93.9459,"""Port Neches is a city in Jefferson County, Texas, United States. The population was 13,692 at the 2020 census, an increase over the figure of 13,040 tabulated in 2010. It is part of the Beaumont–Port Arthur metropolitan area."""
United Kingdom of Great Britain and Northern Ireland,Port Talbot,51,Moderate,1,Good,20,Good,5,Good,51,Moderate,51.5906,-3.7986,"""Port Talbot is a town and community in the county borough of Neath Port Talbot, Wales, situated on the east side of Swansea Bay, approximately eight miles from Swansea. The Port Talbot Steelworks covers a large area of land which dominates the south east of the town. It is the largest steelworks in the United Kingdom, and one of the largest in the world, but has been under threat of closure since the 1980s. The population was 31,550 in 2021, comprising about a fifth of the 141,931 population of Neath Port Talbot."""
United States of America,Portales,77,Moderate,1,Good,34,Good,0,Good,77,Moderate,34.1754,-103.3565,"""No description provided"""
United States of America,Post Falls,61,Moderate,1,Good,32,Good,3,Good,61,Moderate,47.7213,-116.9384,"""Post Falls is a city in Kootenai County, Idaho, United States. It is the gateway city to Northern Idaho off Interstate 90, just west of Coeur d'Alene, and east of Spokane, Washington. The population was 38,485 at the 2020 census, making it Idaho's ninth-largest city and the second largest city in North Idaho behind Coeur d’Alene."""
Brazil,Pouso Alegre,32,Good,1,Good,7,Good,2,Good,32,Good,-22.2281,-45.9336,"""Pouso Alegre is a municipality in southern region of Minas Gerais state, Brazil, with a population of 152,549 in 2020. The area of the municipality is 543 km2. It lies in the valley of the Sapucaí River."""
Russian Federation,Dalnegorsk,29,Good,0,Good,29,Good,0,Good,25,Good,44.55,135.5833,"""Dalnegorsk is a town in Primorsky Krai, Russia. Population: 37,519 (2010 Census); 40,069 (2002 Census); 49,792 (1989 Soviet census)."""
India,Darbhanga,247,Very Unhealthy,3,Good,162,Unhealthy,1,Good,247,Very Unhealthy,26.17,85.9,"""Darbhanga is the fifth largest city and municipal corporation in the state of Bihar in India, and is considered an important city in North Bihar. It serves as the headquarters of the Darbhanga district and the Darbhanga division. Darbhanga is also referred to as the gateway to Bengal, because it is held that the name Darbhanga has been derived from Dwār Banga or Dari – Banga, meaning the 'door of Bengal'."""
United States of America,Dayton,45,Good,1,Good,32,Good,7,Good,45,Good,39.7805,-84.2003,"""Dayton is a city in Montgomery County, Ohio, United States, and its county seat. As of the 2020 census, the city proper had a population of 137,644, making it the sixth-most populous city in Ohio. It anchors the state's fourth-largest metropolitan area, the Dayton metropolitan area, which had 814,049 residents. Dayton is located within Ohio's Miami Valley region, 50 miles (80 km) north of Cincinnati and 60 miles (97 km) west of Columbus."""
Belgium,Deinze,36,Good,1,Good,25,Good,3,Good,36,Good,50.9833,3.5333,"""Deinze is a city and a municipality in the Belgian province of East Flanders. It comprises the city of Deinze, and the towns of Astene, Bachte-Maria-Leerne, Gottem, Grammene, Hansbeke, Landegem, Meigem, Merendree, Nevele, Petegem-aan-de-Leie, Poesele, Sint-Martens-Leerne, Vinkt, Vosselare, Wontergem, and Zeveren. On 1 January 2022, Deinze had a population of 44,315. The municipality's total area is 128.03 km2 (49 sq mi), giving a population density of 342 inhabitants per km2."""
Haiti,Delmas,124,Unhealthy for Sensitive Groups,2,Good,15,Good,5,Good,124,Unhealthy for Sensitive Groups,18.55,-72.3,"""No description provided"""
United States of America,Deming,72,Moderate,1,Good,26,Good,2,Good,72,Moderate,32.2631,-107.7525,"""No description provided"""
United Kingdom of Great Britain and Northern Ireland,Denton,55,Moderate,0,Good,32,Good,1,Good,55,Moderate,33.2175,-97.1418,"""No description provided"""
United States of America,Destin,31,Good,0,Good,31,Good,0,Good,25,Good,30.395,-86.4701,"""No description provided"""
India,Dharmapuri,60,Moderate,1,Good,31,Good,1,Good,60,Moderate,12.127,78.158,"""Dharmapuri is a city in the north western part of Tamil Nadu, India. It serves as the administrative headquarters of Dharmapuri district which is the first district created in Tamil Nadu after the independence of India by splitting it from then Salem district on 2 October 1965. The city is located 50 km from Krishnagiri, 69 km from Salem, 60 km from Tirupattur, 90 km from Hosur, 117 km from Thiruvannamalai, 126 km from Bangalore and Erode, 181 km from Tiruppur, 200 km from Coimbatore and Tiruchirappalli, 300 km from Madurai and the state capital Chennai. It is located between latitudes N 11 47’ and 12 33’ and longitudes E 77 02’ and 78 40’. It is one of the major leading cultivators and producers of mangoes in the state along with Krishnagiri, and is often referred as Mango Capital of India."""
Philippines,Dipolog,30,Good,1,Good,17,Good,0,Good,30,Good,8.5872,123.3408,"""Dipolog, officially the City of Dipolog, is a component city and capital of the province of Zamboanga del Norte, Philippines. According to the 2020 census, it has a population of 138,141 people making it the most populous in the province."""
Latvia,Dobele,44,Good,1,Good,34,Good,0,Good,44,Good,56.6167,23.2667,"""Dobele is a town in the Semigallia region of Latvia. It is located near the center of Latvia on the banks of the river Bērze. It received town rights in 1917 whilst being a part of the German occupied Courland Governorate during the First World War. As of 2020, the population was 8,856."""
United States of America,Grandville,47,Good,1,Good,37,Good,4,Good,47,Good,42.9004,-85.7564,"""No description provided"""
Netherlands,Grave,37,Good,0,Good,32,Good,2,Good,37,Good,51.7667,5.7333,"""A grave is a location where a dead body is buried or interred after a funeral. Graves are usually located in special areas set aside for the purpose of burial, such as graveyards or cemeteries."""
United States of America,Green Valley,44,Good,1,Good,14,Good,8,Good,44,Good,31.8393,-111.0009,"""No description provided"""
United States of America,Greendale,58,Moderate,2,Good,14,Good,24,Good,58,Moderate,42.9371,-88.0018,"""No description provided"""
Colombia,Guamo,89,Moderate,3,Good,3,Good,6,Good,89,Moderate,4.0833,-74.9167,"""Guamo is a town and municipality in the Tolima department of Colombia. The population of the municipality was 30,516 as of the 2018 census."""
Italy,Guardiagrele,52,Moderate,2,Good,38,Good,7,Good,52,Moderate,42.2,14.2167,"""Guardiagrele is a town and comune in the province of Chieti, part of the Abruzzo region of central Italy. It is in the foothills of the Maiella mountain at an elevation of around 576 metres (1,890 ft). Its population numbers about 10,000."""
United Kingdom of Great Britain and Northern Ireland,Guildford,51,Moderate,1,Good,25,Good,6,Good,51,Moderate,51.2365,-0.5703,"""Guildford is a town in west Surrey, England, around 27 mi (43 km) south-west of central London. As of the 2011 census, the town has a population of about 77,000 and is the seat of the wider Borough of Guildford, which had around 145,673 inhabitants in 2022. The name 'Guildford' is thought to derive from a crossing of the River Wey, a tributary of the River Thames that flows through the town centre."""
Russian Federation,Gukovo,38,Good,1,Good,38,Good,0,Good,13,Good,48.05,39.9167,"""Gukovo is a mining town in Rostov Oblast, Russia, located close to the border with Ukraine. Population: 66,648 (2002 Census); 67,336 (1989 Soviet census)."""
United States of America,Hazelwood,88,Moderate,2,Good,11,Good,20,Good,88,Moderate,38.7931,-90.3899,"""No description provided"""
Germany,Heddesheim,54,Moderate,1,Good,31,Good,3,Good,54,Moderate,49.5053,8.6033,"""Heddesheim is a municipality in the district of Rhein-Neckar-Kreis, in Baden-Württemberg, Germany. It is situated 9 km east of Mannheim, and 7 km southwest of Weinheim."""
Germany,Heiligenhaus,44,Good,1,Good,28,Good,3,Good,44,Good,51.3167,6.9667,"""Heiligenhaus is a town in the district of Mettmann, in North Rhine-Westphalia, Germany, in the suburban Rhine-Ruhr area. It lies between Düsseldorf and Essen."""
United Kingdom of Great Britain and Northern Ireland,Hemel Hempstead,51,Moderate,1,Good,26,Good,6,Good,51,Moderate,51.7526,-0.4692,"""Hemel Hempstead is a town in the Dacorum district in Hertfordshire, England. It is located 24 miles (39 km) north-west of London; nearby towns and cities include Watford, St Albans and Berkhamsted. The population at the 2021 census was 95,961."""
United States of America,Hicksville,67,Moderate,2,Good,15,Good,23,Good,67,Moderate,40.7637,-73.5245,"""No description provided"""
Germany,Haiger,49,Good,1,Good,25,Good,3,Good,49,Good,50.7422,8.2039,"""Haiger is a country town in the Lahn-Dill-Kreis in Hesse, Germany. The nearest city is Siegen, about 25 km north of Haiger."""
China,Hangzhou,203,Very Unhealthy,5,Good,203,Very Unhealthy,5,Good,151,Unhealthy,30.25,120.1675,"""Hangzhou is the capital city of the Chinese province of Zhejiang. It is located in northwestern Zhejiang, sitting at the head of Hangzhou Bay."""
Germany,Harrislee,35,Good,0,Good,32,Good,0,Good,35,Good,54.7972,9.3764,"""Harrislee is a municipality in the district of Schleswig-Flensburg, in Schleswig-Holstein, Germany. It is situated on the border with Denmark and directly beside Flensburg."""
United States of America,Harrison,90,Moderate,1,Good,25,Good,2,Good,90,Moderate,40.7431,-74.1531,"""No description provided"""
Germany,Hasbergen,36,Good,0,Good,34,Good,1,Good,36,Good,52.2167,7.9167,"""Hasbergen is a municipality in the district of Osnabrück, in Lower Saxony, Germany. It is situated in the Teutoburg Forest, approx. 7 km west of Osnabrück. Hasbergen consists of Hasbergen proper, Gaste and Ohrbeck."""
France,Haubourdin,48,Good,1,Good,28,Good,4,Good,48,Good,50.6092,2.9869,"""Haubourdin is a commune in the Nord department in northern France. It is part of the Métropole Européenne de Lille."""
United States of America,Taunton,41,Good,1,Good,28,Good,10,Good,41,Good,51.019,-3.1,"""Taunton is the county town of Somerset, England. It is a market town and has a minster church. Its population in 2011 was 64,621. Its thousand-year history includes a 10th-century monastic foundation, owned by the Bishops of Winchester, which was rebuilt as Taunton Castle by the Normans in the 12th century. Parts of the inner ward house were turned into the Museum of Somerset and Somerset Military Museum. For the Second Cornish uprising of 1497, Perkin Warbeck brought an army of 6,000; most surrendered to Henry VII on 4 October 1497. On 20 June 1685, the Duke of Monmouth crowned himself King of England in Taunton in the failed Monmouth Rebellion. Judge Jeffreys led the Bloody Assizes in the Castle's Great Hall."""
New Zealand,Tauranga,19,Good,0,Good,19,Good,1,Good,17,Good,-37.6833,176.1667,"""Tauranga is a coastal city in the Bay of Plenty region and the fifth-most populous city of New Zealand, with an urban population of 162,800, or roughly 3% of the national population. It was settled by Māori late in the 13th century and colonised by Europeans in the early 19th century. It was constituted as a city in 1963."""
Italy,Teano,47,Good,1,Good,47,Good,1,Good,36,Good,41.25,14.0667,"""Teano is a town and comune in the province of Caserta, Campania, southern Italy, 30 kilometres (19 mi) northwest of Caserta on the main line to Rome from Naples. It stands at the southeast foot of an extinct volcano, Rocca Monfina. Its St. Clement's cathedral is the see of the Roman Catholic Diocese of Teano-Calvi, which started as the Diocese of Teano circa AD 300."""
India,Tekkali,155,Unhealthy,3,Good,82,Moderate,1,Good,155,Unhealthy,18.6057,84.2355,"""Tekkali is a census town in Srikakulam district of the Indian state of Andhra Pradesh. It is the mandal headquarters of Tekkali mandal and Tekkali revenue division and is located at a distance of 51 km from the district headquarters."""
Brazil,Teodoro Sampaio,46,Good,1,Good,9,Good,1,Good,46,Good,-22.5328,-52.1678,"""No description provided"""
Mexico,Tequila,64,Moderate,1,Good,15,Good,2,Good,64,Moderate,20.8794,-103.8356,"""Tequila is a distilled beverage made from the blue agave plant, primarily in the area surrounding the city of Tequila 65 km (40 mi) northwest of Guadalajara, and in the Jaliscan Highlands of the central western Mexican state of Jalisco."""
Italy,Teramo,44,Good,1,Good,44,Good,1,Good,38,Good,42.6589,13.7039,"""Teramo is a city and comune in the Italian region of Abruzzo, the capital of the province of Teramo."""
China,Tianjin,142,Unhealthy for Sensitive Groups,4,Good,113,Unhealthy for Sensitive Groups,9,Good,142,Unhealthy for Sensitive Groups,39.1467,117.2056,"""Tianjin is a direct-administered municipality in northern China on the shore of the Bohai Sea. It is one of the nine national central cities, with a total population of 13,866,009 inhabitants at the time of the 2020 Chinese census. Its metropolitan area, which is made up of 12 central districts, was home to 11,165,706 inhabitants and is also the world's 29th-largest agglomeration and 11th-most populous city proper."""
Philippines,Toboso,54,Moderate,1,Good,20,Good,0,Good,54,Moderate,10.7167,123.5167,"""No description provided"""
Japan,Tokorozawa,60,Moderate,1,Good,44,Good,3,Good,60,Moderate,35.7996,139.4686,"""Tokorozawa is a city located in Saitama Prefecture, Japan. As of 1 February 2024, the city had an estimated population of 343,298 in 168,939 households and a population density of 4761 persons per km². The total area of the city is 72.11 square kilometres (27.84 sq mi)."""
Mexico,Toluca,166,Unhealthy,4,Good,8,Good,19,Good,166,Unhealthy,19.2925,-99.6569,"""Toluca, officially Toluca de Lerdo, is the state capital of the State of Mexico as well as the seat of the Municipality of Toluca. Toluca has a population of 910,608 as of the 2020 census. The city forms the core of the Greater Toluca metropolitan area, which with a combined population of 2,347,692 forms the fifth most populous metropolitan area in the country. Located 63 kilometres (39 mi) southwest of Mexico City, the city's rapid growth stems largely from its proximity to the capital."""
Brazil,Itapissuma,27,Good,0,Good,23,Good,1,Good,27,Good,-7.7764,-34.8919,"""Itapissuma is a city in the state of Pernambuco, Brazil. It is integrated in the Recife metropolitan area with another 13 cities. Itapissuma has a total area of 74.25 square kilometers and had an estimated population of 26,900 inhabitants in 2020 according to the IBGE. The city has the best children's mortality rate in the metropolitan area and has also the second highest GDP per capita after Ipojuca."""
Brazil,Itarantim,23,Good,1,Good,7,Good,1,Good,23,Good,-15.66,-40.0658,"""Itarantim is a municipality in the state of Bahia in the North-East region of Brazil."""
Brazil,Itumbiara,31,Good,1,Good,13,Good,0,Good,31,Good,-18.4167,-49.2167,"""Itumbiara is a municipality in the extreme south of the state of Goiás, Brazil. Its population in 2022 was of 107,970 in a total area of 2,461,3 km2. Itumbiara is one of the most prosperous cities in Goiás and is a major producer of soybeans, corn, cattle, and milk."""
El Salvador,Izalco,90,Moderate,2,Good,22,Good,9,Good,90,Moderate,13.7333,-89.6667,"""Izalco is a town and a municipality in the Sonsonate department of El Salvador. Volcan Izalco is an icon of the country of El Salvador, a very young volcano on the flank of Santa Ana volcano. From when it was born in 1770 until 1966, it was in almost continuous eruption and was known as the 'lighthouse of the Pacific.' Since then it has been nearly inactive."""
Russian Federation,Izberbash,51,Moderate,1,Good,38,Good,0,Good,51,Moderate,42.5633,47.8636,"""Izberbash is a town in the Republic of Dagestan, Russia, located on the coast of the Caspian Sea 56 kilometers (35 mi) southeast of Makhachkala, the capital of the republic. Population: 55,646 (2010 Census); 39,365 (2002 Census); 28,122 (1989 Soviet census)."""
India,Jabalpur,170,Unhealthy,1,Good,38,Good,0,Good,170,Unhealthy,23.1667,79.9333,"""Jabalpur, formerly Jubbulpore, is a city situated on the banks of Narmada River in the state of Madhya Pradesh, India. It is the 3rd-largest urban agglomeration of the state and the 38th-largest of the country. Jabalpur is the administrative headquarters of the Jabalpur district and the Jabalpur division. It is the judicial capital of Madhya Pradesh with Madhya Pradesh High Court being located in the city. It is generally accepted that the game of snooker originated in Jabalpur. Jabalpur is also the railway headquarters of the West Central Railway. Jabalpur Cantonment is one of the largest cantonments in India and houses the army headquarters of five states. The city is known for the marble rocks on the river Narmada at Bhedaghat. It is also known as 'Sanskardhani' meaning 'The Cultural Capital' highlighting the city's rich cultural and historical heritage. The city of Jabalpur was among the first 7 smart cities selected for the Smart Cities Mission."""
Brazil,Jaguaquara,22,Good,0,Good,9,Good,1,Good,22,Good,-13.5308,-39.9708,"""Jaguaquara is a municipality with a population of 51,019 residents, in the state of Bahia in the North-East region of Brazil."""
Poland,Jarocin,47,Good,1,Good,27,Good,2,Good,47,Good,51.9667,17.5,"""Jarocin is a town in west-central Poland with 25,700 inhabitants (1995), the administrative capital of Jarocin County in Greater Poland Voivodeship."""
Philippines,Jasaan,59,Moderate,1,Good,32,Good,0,Good,59,Moderate,8.65,124.75,"""Jasaan, officially the Municipality of Jasaan, is a municipality in the province of Misamis Oriental, Philippines. According to the 2020 census, it has a population of 57,055 people."""
Nigeria,Ilobu,133,Unhealthy for Sensitive Groups,4,Good,23,Good,3,Good,133,Unhealthy for Sensitive Groups,7.84,4.486,"""Ilobu is a town and the administrative headquarters of Irepodun Local Government Area of Osun State, Nigeria. It is located in a sparsely forested area and is bounded on the north by Ifon-Osun, on the south by Osogbo, on the east by Oba and on the west by Erin-Osun. It is watered by Ojutu River, Erinle River, Konda River and a few other streams. The town is said to have been founded by Laarosin, a powerful warrior in the Old Oyo Empire. It has a population of about 30,825."""
Finland,Imatra,29,Good,1,Good,29,Good,1,Good,7,Good,61.1833,28.7667,"""Imatra is a town in Finland, located in the southeastern interior of the country. Imatra is located in the region of South Karelia, on Lake Saimaa and the River Vuoksi. The population of Imatra is approximately 25,000, while the sub-region has a population of approximately 37,000. It is the 42nd most populous municipality in Finland."""
Brazil,Indaial,73,Moderate,2,Good,2,Good,8,Good,73,Moderate,-26.8978,-49.2319,"""Indaial is a city in the state of Santa Catarina, Brazil. It is located on the left bank of Itajaí River, and 160 km from the capital of the state, Florianópolis."""
Philippines,Indang,50,Good,0,Good,24,Good,0,Good,50,Good,14.2,120.8833,"""Indang, officially the Municipality of Indang, is a municipality in the province of Cavite, Philippines. According to the 2020 census, it has a population of 68,699 people."""
Brazil,Itagi,25,Good,0,Good,9,Good,1,Good,25,Good,-14.1628,-40.0058,"""Itagi is a village in the southern state of Karnataka, India. It is located in the Rona taluk of Gadag district in Karnataka. As per census survey of 2011, its location code number is 601951."""
Nigeria,Iseyin,90,Moderate,3,Good,18,Good,2,Good,90,Moderate,7.9667,3.6,"""Iseyin is a town located in Oyo, Nigeria. It is approximately 100 km (62 mi) north of Ibadan. The town was estimated to have a population of 236,000, according to United Nations 2005 estimate, which increased to 362,990 in 2011, and has a total land mass of 2,341 km2 (904 sq mi). Its inhabitants are mostly of Yoruba origin and its ruler is the Aseyin of Iseyin, with the current being Oba Sefiu Oyebola Adeyeri III, Ajirotutu I."""
Mexico,Isla,81,Moderate,2,Good,26,Good,3,Good,81,Moderate,18.0292,-95.5264,"""No description provided"""
Brazil,Itaitinga,29,Good,0,Good,20,Good,1,Good,29,Good,-3.9689,-38.5278,"""Itaitinga is a municipality in the state of Ceará in the Northeast region of Brazil."""
Brazil,Itapemirim,44,Good,1,Good,16,Good,1,Good,44,Good,-21.0108,-40.8339,"""No description provided"""
South Sudan,Torit,65,Moderate,1,Good,12,Good,0,Good,65,Moderate,4.4081,32.575,"""Torit is a city of Eastern Equatoria State in South Sudan."""
United States of America,Trenton,53,Moderate,1,Good,28,Good,10,Good,53,Moderate,40.2237,-74.7641,"""No description provided"""
United States of America,Trujillo Alto,56,Moderate,0,Good,23,Good,0,Good,56,Moderate,18.3599,-66.0096,"""Trujillo Alto is a town and municipality of Puerto Rico. Located on the northeastern coastal plain on the boundary between the Northern Karst Belt and Sierra de Luquillo, it is north of Caguas and Gurabo, southeast of San Juan, and west of Carolina. Part of the San Juan metropolitan area, Trujillo Alto is spread over 6 barrios and the downtown area and administrative center of Trujillo Alto Pueblo."""
Ireland,Tullamore,57,Moderate,1,Good,26,Good,3,Good,57,Moderate,53.2667,-7.5,"""Tullamore is the county town of County Offaly in Ireland. It is on the Grand Canal, in the middle of the county, and is the fourth most populous town in the Midlands Region, with 15,598 inhabitants at the 2022 census."""
Turkey,Tunceli,62,Moderate,0,Good,35,Good,0,Good,62,Moderate,39.1064,39.5472,"""Tunceli is a municipality (belde) in Tunceli District and capital of Tunceli Province, Turkey. The city has a Kurdish majority. It had a population of 35,161 in 2021."""
United States of America,Two Rivers,49,Good,1,Good,27,Good,4,Good,49,Good,44.1565,-87.5824,"""No description provided"""
Russian Federation,Tyukalinsk,34,Good,1,Good,34,Good,0,Good,32,Good,55.8667,72.2,"""Tyukalinsk is a town in Omsk Oblast, Russia, located 60 kilometers (37 mi) northeast of the Nazyvayevsk railway station on the Trans-Siberian Railway and 120 kilometers (75 mi) northwest of Omsk, the administrative center of the oblast. Population: 11,275 (2010 Census); 12,007 (2002 Census); 12,191 (1989 Soviet census)."""
India,Umaria,163,Unhealthy,2,Good,92,Moderate,0,Good,163,Unhealthy,23.5247,80.8372,"""Umaria is a municipality city and administrative headquarter of the Umaria district of the Shahdol Division of Madhya Pradesh, India."""
United States of America,Willowbrook,126,Unhealthy for Sensitive Groups,4,Good,3,Good,36,Good,126,Unhealthy for Sensitive Groups,33.9209,-118.2356,"""No description provided"""
United States of America,Wilmette,63,Moderate,2,Good,9,Good,22,Good,63,Moderate,42.0771,-87.7282,"""Wilmette is a village in Cook County, Illinois, United States. Bordering Lake Michigan, Kenilworth, Winnetka, Skokie, Northfield, Glenview, and Evanston, Illinois, it is located 14 miles (23 km) north of Chicago's downtown district. Wilmette had a population of 28,170 at the 2020 census. The first and only Baháʼí House of Worship in North America is located in Wilmette. Wilmette is also home to Central Elementary School and Romona Elementary School, both recent recipients of the National Blue Ribbon award bestowed by the U.S. Department of Education. According to the United States Census Bureau, the median household income in Wilmette was $183,750 in 2022."""
United States of America,Wolf Trap,53,Moderate,2,Good,27,Good,10,Good,53,Moderate,38.9395,-77.2842,"""No description provided"""
United States of America,Woodhaven,86,Moderate,2,Good,38,Good,10,Good,86,Moderate,42.132,-83.2374,"""No description provided"""
China,Xushan,112,Unhealthy for Sensitive Groups,2,Good,44,Good,4,Good,112,Unhealthy for Sensitive Groups,30.1697,121.2665,"""No description provided"""
